Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Andrew Nardi*,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Narváez*,NYM,49,146,128,12,27,5,0,2,7,0,0,14,27,1,0,1,3,0
Bo Naylor*,CLE,67,230,198,33,47,13,0,11,32,5,0,30,53,2,1,0,1,1
Josh Naylor*,CLE,121,495,452,52,139,31,0,17,97,10,3,33,68,11,3,0,7,9
Kyle Nelson*,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Héctor Neris,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Neto,LAA,84,329,289,38,65,17,0,9,34,5,1,20,77,5,16,1,3,0
Tyler Nevin,DET,41,111,95,11,19,3,1,2,10,0,1,12,25,1,3,0,1,0
Kevin Newman,CIN,74,253,225,28,57,16,0,3,28,8,1,17,34,7,4,2,5,0
Tomás Nido,NYM,22,61,56,5,7,0,0,0,1,0,0,2,18,2,0,2,1,0
Brandon Nimmo*,NYM,152,682,592,89,162,30,6,24,68,3,3,74,146,6,11,1,4,0
Ryan Noda*,OAK,128,495,406,63,93,22,1,16,54,3,1,77,170,4,10,0,2,1
Austin Nola,SDP,52,154,130,9,19,3,0,1,8,0,0,18,31,5,2,4,0,0
Lars Nootbaar*,STL,117,503,426,74,111,23,1,14,46,11,1,72,99,7,1,1,3,2
Ryan O'Hearn*,BAL,112,368,346,48,100,22,1,14,60,5,1,15,82,2,3,1,3,2
Logan O'Hoppe,LAA,51,199,182,23,43,6,0,14,29,0,1,14,48,4,2,0,1,0
Brian O'Keefe,SEA,8,21,19,0,2,2,0,0,2,0,0,2,7,2,0,0,0,0
Tyler O'Neill,STL,72,266,238,27,55,14,0,9,21,5,0,28,67,5,0,0,0,0
Rougned Odor*,SDP,59,157,138,21,28,9,0,4,18,2,1,17,37,2,2,0,0,0
Shohei Ohtani*,LAA,135,599,497,102,151,26,8,44,95,20,6,91,143,9,3,0,3,21
Chris Okey,LAA,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Edward Olivares,KCR,107,385,354,47,93,23,4,12,36,11,5,22,64,7,7,0,2,1
Matt Olson*,ATL,162,720,608,127,172,27,3,54,139,1,0,104,167,13,4,0,4,8
Jonathan Ornelas,TEX,8,8,7,2,1,0,0,0,0,0,0,0,4,0,1,0,0,0
Rafael Ortega*,NYM,47,136,114,16,25,3,0,1,8,6,1,20,33,0,1,1,0,0
Joey Ortiz,BAL,15,34,33,4,7,1,0,0,4,0,0,0,9,2,0,0,1,0
James Outman*,LAD,151,567,483,86,120,16,3,23,70,16,3,68,181,4,12,0,4,1
Chris Owings,PIT,10,25,25,0,4,0,0,0,0,0,0,0,12,1,0,0,0,0
Marcell Ozuna,ATL,144,592,530,84,145,29,1,40,100,0,0,57,134,9,3,0,2,1
Cristian Pache,PHI,48,95,84,12,20,7,1,2,11,2,3,10,27,1,0,1,0,0
Kevin Padlo,LAA,3,8,8,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Emilio Pagán*,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Palacios*,PIT,91,264,247,26,59,9,2,10,40,5,0,12,56,7,2,2,1,0
Richie Palacios*,STL,32,102,93,9,24,6,0,6,16,2,0,6,11,1,1,1,1,0
Isaac Paredes,TBR,143,571,492,71,123,24,0,31,98,1,0,58,104,11,20,0,1,0
Kyren Paris,LAA,15,46,40,4,4,0,0,0,1,3,0,4,17,0,1,1,0,0
Vinnie Pasquantino*,KCR,61,260,231,24,57,17,0,9,26,0,0,25,31,7,2,0,1,2
Joc Pederson*,SFG,121,425,358,59,84,14,3,15,51,0,0,57,89,12,7,0,3,6
Liover Peguero,PIT,59,213,198,21,47,4,1,7,26,6,2,11,67,6,1,2,1,0
Jeremy Peña,HOU,150,634,577,81,152,32,3,10,52,13,9,43,129,11,9,1,1,1
David Peralta*,LAD,133,422,394,47,102,25,1,7,55,4,1,20,72,8,2,0,6,1
Oswald Peraza,NYY,52,191,173,15,33,8,0,2,14,4,3,13,50,1,5,0,0,0
Geraldo Perdomo#,ARI,144,495,407,71,100,20,4,6,47,16,4,64,86,2,6,14,4,1
Everson Pereira,NYY,27,103,93,6,14,4,0,0,10,4,0,8,40,1,2,0,0,0
Carlos Pérez,OAK,66,189,168,17,38,4,0,6,20,0,0,13,40,4,4,1,3,0
Carlos Pérez,CHW,27,53,49,5,10,4,0,1,3,0,0,4,11,2,0,0,0,0
Cionel Pérez,BAL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Pérez*,NYM,3,8,8,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0
Roberto Pérez,SFG,5,17,15,0,2,0,0,0,1,0,0,2,6,0,0,0,0,0
Salvador Pérez,KCR,140,580,538,59,137,21,0,23,80,0,0,19,135,11,13,0,8,6
Blake Perkins#,MIL,67,168,143,28,31,7,0,4,20,5,2,23,46,3,0,2,0,0
Jace Peterson*,TOT,133,430,374,35,79,10,4,6,37,15,2,47,101,7,4,2,3,2
Jace Peterson*,OAK,92,324,281,30,62,7,2,6,28,11,1,36,77,6,3,1,3,1
Jace Peterson*,ARI,41,106,93,5,17,3,2,0,9,4,1,11,24,1,1,1,0,1
Tommy Pham,TOT,129,481,426,55,109,27,3,16,68,22,3,47,106,11,2,0,6,1
Tommy Pham,NYM,79,264,231,29,62,15,1,10,36,11,1,29,56,2,1,0,3,1
Tommy Pham,ARI,50,217,195,26,47,12,2,6,32,11,2,18,50,9,1,0,3,0
Brett Phillips*,LAA,39,71,63,9,11,1,0,3,6,3,1,8,36,0,0,0,0,0
Kevin Pillar,ATL,81,206,197,29,45,10,0,9,32,4,1,6,50,2,0,0,3,0
Manny Piña,OAK,4,12,12,1,3,0,0,1,1,0,0,0,3,1,0,0,0,0
René Pinto,TBR,38,105,103,10,26,3,0,6,16,0,0,2,34,2,0,0,0,0
Nick Pivetta,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Polanco#,MIN,80,343,302,38,77,18,0,14,48,4,0,36,88,2,2,0,3,0
AJ Pollock,TOT,54,144,133,15,22,4,0,5,15,0,1,9,32,1,0,0,2,0
AJ Pollock,SEA,49,138,127,15,22,4,0,5,15,0,1,9,30,1,0,0,2,0
AJ Pollock,SFG,5,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Logan Porter,KCR,11,38,31,4,6,1,0,1,3,0,0,5,11,2,1,1,0,0
Nick Pratto*,KCR,95,345,306,33,71,16,0,7,35,1,1,29,138,3,6,0,4,0
Ryan Pressly,HOU,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurickson Profar#,TOT,125,521,459,55,111,27,2,9,46,1,0,50,90,11,6,0,5,0
Jurickson Profar#,COL,111,472,415,51,98,25,2,8,39,1,0,45,86,9,6,0,5,0
Jurickson Profar#,SDP,14,49,44,4,13,2,0,1,7,0,0,5,4,2,0,0,0,0
Juniel Querecuto#,STL,9,21,20,2,2,1,0,0,0,0,0,1,6,0,0,0,0,0
Ceddanne Rafaela,BOS,28,89,83,11,20,6,0,2,5,3,1,4,28,2,1,0,1,0
Cole Ragans*,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Ragans*,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cal Raleigh#,SEA,145,569,513,78,119,23,1,30,75,0,0,54,158,6,1,0,1,1
Brooks Raley*,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Raley*,TBR,118,406,357,56,89,23,3,19,49,14,3,28,128,2,18,1,2,0
Harold Ramírez,TBR,122,434,400,58,125,19,2,12,68,5,3,22,79,7,6,0,6,0
José Ramírez#,CLE,156,691,611,87,172,36,5,24,80,28,6,73,73,8,1,0,6,22
Heliot Ramos,SFG,25,60,56,5,10,4,0,1,2,0,0,4,20,1,0,0,0,0
Henry Ramos#,CIN,23,86,74,9,18,3,1,0,5,2,1,11,21,2,1,0,0,0
J.T. Realmuto,PHI,135,540,489,70,123,28,5,20,63,16,5,35,138,10,9,0,5,3
Rob Refsnyder,BOS,89,243,202,31,50,9,1,1,28,7,2,33,47,8,5,1,1,0
Zach Remillard,CHW,54,160,147,16,37,7,0,1,18,4,3,8,48,3,1,4,0,1
Anthony Rendon,LAA,43,183,148,23,35,6,0,2,22,2,0,25,27,6,6,0,4,0
Hunter Renfroe,TOT,140,548,498,60,116,31,0,20,60,0,0,44,125,15,3,0,3,0
Hunter Renfroe,LAA,126,504,459,56,111,31,0,19,56,0,0,39,113,15,3,0,3,0
Hunter Renfroe,CIN,14,44,39,4,5,0,0,1,4,0,0,5,12,0,0,0,0,0
Luis Rengifo#,LAA,126,445,394,55,104,15,4,16,51,6,4,41,82,3,6,0,4,0
Franmil Reyes,KCR,19,65,59,5,11,0,0,2,7,0,0,4,24,3,0,0,2,0
Pablo Reyes,BOS,64,185,167,27,48,9,0,2,20,7,2,14,21,3,0,2,2,0
Bryan Reynolds#,PIT,145,640,574,85,151,31,5,24,84,12,1,53,138,13,7,0,6,2
Matt Reynolds,CIN,2,5,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0
Austin Riley,ATL,159,715,636,117,179,32,3,37,97,3,1,59,172,18,9,0,11,4
Edwin Ríos*,CHC,18,34,28,3,2,1,0,1,2,0,0,5,16,0,1,0,0,0
Alfonso Rivas*,TOT,48,123,109,8,25,10,1,3,15,1,0,9,36,1,3,1,1,0
Alfonso Rivas*,SDP,8,17,15,2,3,2,0,0,1,0,0,2,7,0,0,0,0,0
Alfonso Rivas*,PIT,40,106,94,6,22,8,1,3,14,1,0,7,29,1,3,1,1,0
Emmanuel Rivera,ARI,86,283,257,32,67,13,0,4,29,1,0,22,56,9,0,0,4,0
Anthony Rizzo*,NYY,99,421,373,45,91,14,0,12,41,0,3,35,97,10,12,0,1,1
Luis Robert Jr.,CHW,145,595,546,90,144,36,1,38,80,20,4,30,172,10,12,0,2,5
Víctor Robles,WSN,36,126,107,15,32,5,1,0,8,8,1,11,18,3,4,4,0,0
Brayan Rocchio#,CLE,23,86,81,9,20,6,0,0,8,0,0,4,27,4,0,0,1,0
Brendan Rodgers,COL,46,192,178,21,46,9,1,4,20,0,0,11,41,6,3,0,0,0
Endy Rodríguez#,PIT,57,204,186,27,41,7,2,3,13,0,0,17,49,3,0,0,1,0
José Rodriguez,CHW,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Rodríguez,SEA,155,714,654,102,180,37,2,32,103,37,10,47,175,14,11,0,2,6
Jake Rogers,DET,107,365,331,47,73,11,0,21,49,1,1,28,118,6,3,1,2,0
Taylor Rogers*,SFG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Rogers,SFG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johan Rojas,PHI,59,164,149,24,45,9,2,2,23,14,1,5,42,1,4,6,0,0
Josh Rojas*,TOT,105,350,314,47,77,17,0,4,40,12,0,27,81,3,1,2,4,0
Josh Rojas*,ARI,59,216,189,23,43,13,0,0,26,6,0,18,51,2,1,2,4,0
Josh Rojas*,SEA,46,134,125,24,34,4,0,4,14,6,0,9,30,1,0,0,0,0
Miguel Rojas,LAD,124,423,385,49,91,16,1,5,31,8,3,26,48,12,5,2,5,0
Jordan Romano,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JoJo Romero*,STL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Rooker,OAK,137,526,463,61,114,20,1,30,69,4,0,49,172,11,10,0,4,1
Ben Rortvedt*,NYY,32,79,68,6,8,1,0,2,4,0,0,11,19,1,0,0,0,0
Amed Rosario,TOT,142,545,510,70,134,25,8,6,58,15,2,29,99,15,3,0,3,0
Amed Rosario,CLE,94,412,385,51,102,19,6,3,40,9,0,22,77,11,2,0,3,0
Amed Rosario,LAD,48,133,125,19,32,6,2,3,18,6,2,7,22,4,1,0,0,0
Eddie Rosario*,ATL,142,516,478,64,122,24,3,21,74,3,4,34,122,13,1,1,2,1
Eguy Rosario,SDP,11,37,36,6,9,1,1,2,6,0,0,1,12,1,0,0,0,0
Michael Rucker,CHC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darin Ruf,TOT,20,57,49,3,11,3,0,0,3,0,0,8,16,0,0,0,0,0
Darin Ruf,SFG,9,27,23,1,6,2,0,0,3,0,0,4,9,0,0,0,0,0
Darin Ruf,MIL,11,30,26,2,5,1,0,0,0,0,0,4,7,0,0,0,0,0
Esteury Ruiz,OAK,132,497,449,47,114,24,1,5,47,67,13,20,99,7,16,4,1,1
José Ruiz,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Ruiz,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keibert Ruiz#,WSN,136,562,523,55,136,24,0,18,67,1,1,31,58,13,6,0,2,1
Blake Rutherford*,WSN,16,36,35,4,6,0,0,0,2,0,0,1,10,1,0,0,0,0
Adley Rutschman#,BAL,154,687,588,84,163,31,1,20,80,1,2,92,101,14,2,0,5,6
Blake Sabol*,SFG,110,344,310,36,73,10,0,13,44,4,2,24,117,4,6,2,2,0
César Salazar*,HOU,13,19,18,1,2,0,0,0,0,0,0,1,6,1,0,0,0,0
Gary Sánchez,TOT,75,267,240,33,52,9,0,19,47,0,0,21,67,3,4,0,2,0
Gary Sánchez,NYM,3,7,6,0,1,0,0,0,1,0,0,0,3,0,0,0,1,0
Gary Sánchez,SDP,72,260,234,33,51,9,0,19,46,0,0,21,64,3,4,0,1,0
Jesús Sánchez*,MIA,125,402,360,43,91,23,3,14,52,3,1,38,107,12,2,1,1,1
Cole Sands,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Santana#,TOT,146,619,550,78,132,33,1,23,86,6,0,65,104,11,0,0,4,0
Carlos Santana#,PIT,94,393,345,45,81,25,0,12,53,6,0,45,69,3,0,0,3,0
Carlos Santana#,MIL,52,226,205,33,51,8,1,11,33,0,0,20,35,8,0,0,1,0
Anthony Santander#,BAL,153,656,591,81,152,41,1,28,95,5,1,55,152,11,6,0,4,1
Tony Santillan,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayler Saucedo*,SEA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Sborz,TEX,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nolan Schanuel*,LAA,29,132,109,19,30,3,0,1,6,0,0,20,19,1,3,0,0,1
Casey Schmitt,SFG,90,277,253,28,52,15,0,5,30,2,1,13,65,7,5,3,3,0
Davis Schneider,TOR,35,141,116,23,32,12,1,8,20,1,0,21,43,2,4,0,0,0
Jonathan Schoop,DET,55,151,136,15,29,8,0,0,7,0,0,13,37,6,0,0,2,0
John Schreiber,BOS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Schwarber*,PHI,160,720,585,108,115,19,1,47,104,0,2,126,215,4,6,0,3,5
Tayler Scott,TOT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayler Scott,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayler Scott,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayler Scott,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Seager*,TEX,119,536,477,88,156,42,0,33,96,2,1,49,88,9,4,0,6,9
Chandler Seagle,SDP,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Segura,MIA,85,326,301,25,66,5,2,3,21,6,2,22,47,12,2,1,0,1
Marcus Semien,TEX,162,753,670,122,185,40,4,29,100,14,3,72,110,5,5,0,5,1
Nick Senzel,CIN,104,330,301,49,71,10,0,13,42,6,2,26,74,9,1,0,2,0
Brian Serven,COL,11,23,23,0,3,1,0,0,1,0,0,0,10,0,0,0,0,0
Paul Sewald,TOT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Sewald,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Sewald,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Sheets*,CHW,118,344,311,24,63,10,0,10,43,1,0,28,66,6,1,0,4,2
Braden Shewmake*,ATL,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zack Short,DET,110,253,221,17,45,9,0,7,33,5,0,28,66,3,0,3,1,0
Michael Siani*,TOT,8,6,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
Michael Siani*,CIN,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Michael Siani*,STL,5,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lucas Sims,CIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Singleton*,TOT,36,105,91,11,15,3,0,2,12,0,0,13,23,2,0,0,1,0
Jon Singleton*,MIL,11,32,29,3,3,1,0,0,2,0,0,3,11,0,0,0,0,0
Jon Singleton*,HOU,25,73,62,8,12,2,0,2,10,0,0,10,12,2,0,0,1,0
José Siri,TBR,101,364,338,58,75,13,2,25,56,12,3,20,130,5,2,1,3,0
Austin Slater,SFG,89,207,185,24,50,9,0,5,20,2,2,20,58,2,2,0,0,0
Dominic Smith*,WSN,153,586,527,57,134,21,1,12,46,1,1,47,91,12,10,0,2,1
Josh Smith*,TEX,90,232,195,29,36,8,1,6,15,1,0,25,55,3,9,2,1,0
Kevin Smith,OAK,49,146,135,15,25,4,0,5,11,1,0,5,51,3,1,5,0,0
Pavin Smith*,ARI,69,228,191,26,36,5,0,7,30,1,1,35,45,3,1,0,0,0
Will Smith,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Smith,LAD,126,554,464,80,121,21,2,19,76,3,0,63,89,8,15,0,12,2
Canaan Smith-Njigba*,PIT,15,37,32,3,4,1,1,0,5,1,0,4,16,1,0,0,1,0
Drew Smyly*,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Soderstrom*,OAK,45,138,125,9,20,1,0,3,7,0,0,11,43,6,1,0,1,0
Nick Solak,TOT,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Solak,ATL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Solak,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donovan Solano,MIN,134,450,394,43,111,26,1,5,38,0,0,40,100,8,15,0,1,1
Jorge Soler,MIA,137,580,504,77,126,24,0,36,75,1,0,66,141,20,6,0,4,4
Edmundo Sosa,PHI,104,300,279,34,70,15,2,10,30,4,2,8,74,10,9,2,1,0
Lenyn Sosa,CHW,52,173,164,12,33,6,0,6,14,0,1,5,40,3,0,3,1,1
Juan Soto*,SDP,162,708,568,97,156,32,1,35,109,12,5,132,129,18,2,1,5,11
Livan Soto*,LAA,4,12,9,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0
Carson Spiers,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Springer,TOR,154,683,613,87,158,25,1,21,72,20,5,60,125,20,5,0,3,1
Jacob Stallings,MIA,88,276,241,22,46,14,0,3,20,0,0,27,67,9,3,3,2,0
Ryne Stanek,HOU,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giancarlo Stanton,NYY,101,415,371,43,71,13,0,24,60,0,0,41,124,11,2,0,1,3
Spencer Steer,CIN,156,665,582,74,158,37,3,23,86,15,3,68,139,9,11,0,4,0
Michael Stefanic,LAA,25,71,62,5,18,2,1,0,6,0,1,8,8,0,1,0,0,0
Tyler Stephenson,CIN,142,517,465,59,113,20,2,13,56,0,1,47,135,16,4,0,1,2
Andrew Stevenson*,MIN,25,40,37,4,7,1,0,0,1,4,1,2,8,0,1,0,0,0
Cal Stevenson*,SFG,6,12,9,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0
DJ Stewart*,NYM,58,185,160,21,39,9,0,11,26,1,1,15,56,3,7,1,1,0
Trevor Story,BOS,43,168,158,12,32,9,0,3,14,10,3,9,55,2,1,0,0,0
Bryson Stott*,PHI,151,640,585,78,164,32,2,15,62,31,3,39,100,10,7,1,8,1
Kyle Stowers*,BAL,14,33,30,1,2,0,0,0,0,0,0,3,12,1,0,0,0,0
Myles Straw,CLE,147,518,462,52,110,18,3,1,29,20,6,42,97,10,2,6,6,0
Garrett Stubbs*,PHI,41,125,113,15,23,4,1,1,12,2,0,9,29,0,2,1,0,0
Eugenio Suárez,SEA,162,694,598,68,139,29,0,22,96,2,1,70,214,10,15,0,11,0
Brett Sullivan*,SDP,33,86,81,7,17,3,0,1,6,0,0,4,19,1,0,0,1,0
Brent Suter*,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Suwinski*,PIT,144,534,447,63,100,21,2,26,74,13,2,75,172,2,6,0,6,2
Seiya Suzuki,CHC,138,583,515,75,147,31,6,20,74,6,7,59,130,8,2,0,7,3
Dansby Swanson,CHC,147,638,565,81,138,25,3,22,80,9,1,66,154,9,5,0,2,0
Domingo Tapia,SDP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raimel Tapia*,TOT,64,169,148,28,35,4,1,3,13,10,2,17,40,2,1,1,1,0
Raimel Tapia*,TOT,44,108,96,18,26,4,1,1,10,8,1,11,20,1,0,0,0,0
Raimel Tapia*,BOS,39,97,87,14,23,4,1,1,10,6,1,9,19,1,0,0,0,0
Raimel Tapia*,MIL,20,61,52,10,9,0,0,2,3,2,1,6,20,1,1,1,1,0
Raimel Tapia*,TBR,5,11,9,4,3,0,0,0,0,2,0,2,1,0,0,0,0,0
Fernando Tatis Jr.,SDP,141,635,575,91,148,33,1,25,78,29,4,53,141,17,3,1,3,0
Mike Tauchman*,CHC,108,401,337,64,85,18,0,8,48,7,1,56,86,3,4,1,3,1
Leody Taveras#,TEX,143,554,511,67,136,31,3,14,67,14,4,35,117,3,1,3,4,0
Chris Taylor,LAD,117,384,338,51,80,15,1,15,56,16,3,41,125,2,4,0,1,2
Michael A. Taylor,MIN,129,388,355,48,78,14,1,21,51,13,1,26,130,7,3,3,1,0
Samad Taylor,KCR,31,69,60,11,12,2,1,0,4,8,0,7,22,1,0,1,1,0
Tyrone Taylor,MIL,81,243,231,36,54,17,1,10,35,9,0,8,55,10,3,0,1,0
Rowdy Tellez*,MIL,105,351,311,26,67,9,1,13,47,0,0,35,86,11,0,0,5,2
José Tena*,CLE,18,34,31,2,7,2,0,0,3,0,0,3,13,0,0,0,0,0
Matt Thaiss*,LAA,95,307,262,32,56,6,0,9,31,2,0,36,83,4,6,0,3,1
Alek Thomas*,ARI,125,402,374,51,86,17,5,9,39,9,1,19,86,5,4,2,3,1
Cody Thomas*,OAK,19,46,42,1,10,3,0,1,2,0,0,4,17,1,0,0,0,0
Lane Thomas,WSN,156,682,628,101,168,36,3,28,86,20,5,36,176,5,11,0,7,0
Bubba Thompson,TEX,37,60,53,10,9,4,1,0,4,4,2,4,16,0,1,1,1,0
Trayce Thompson,TOT,72,179,153,17,25,2,0,6,17,2,0,24,77,1,2,0,0,0
Trayce Thompson,LAD,36,87,71,12,11,0,0,5,14,0,0,15,37,0,1,0,0,0
Trayce Thompson,CHW,36,92,82,5,14,2,0,1,3,2,0,9,40,1,1,0,0,0
Michael Toglia#,COL,45,152,141,18,23,5,0,4,9,1,1,10,50,3,1,0,0,0
Justin Topa,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Torkelson,DET,159,684,606,88,141,34,1,31,94,3,0,67,171,15,6,0,5,1
Abraham Toro#,MIL,9,21,18,4,8,0,0,2,9,0,0,2,5,0,1,0,0,0
Luis Torrens,TOT,18,30,28,1,7,3,0,0,4,0,0,1,9,0,1,0,0,0
Luis Torrens,CHC,13,22,20,1,5,1,0,0,3,0,0,1,8,0,1,0,0,0
Luis Torrens,SEA,5,8,8,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0
Gleyber Torres,NYY,158,672,596,90,163,28,2,25,68,13,6,67,98,19,3,0,6,0
Ezequiel Tovar,COL,153,615,581,79,147,37,4,15,73,11,5,25,166,10,4,2,3,0
Taylor Trammell*,SEA,22,56,46,7,6,0,0,3,11,0,1,9,22,2,1,0,0,0
Alan Trejo,COL,82,227,207,24,48,11,0,4,26,5,1,16,51,3,1,1,2,0
Jose Trevino,NYY,55,168,157,15,33,4,0,4,15,0,0,8,22,6,2,1,0,0
Jared Triolo,PIT,54,209,181,30,54,9,0,3,21,6,1,24,63,0,3,0,1,0
Chadwick Tromp,ATL,6,16,16,1,2,1,0,0,1,0,0,0,7,0,0,0,0,0
Mike Trout,LAA,82,362,308,54,81,14,1,18,44,2,0,45,104,4,7,0,2,2
Cole Tucker#,COL,5,10,8,2,4,0,0,0,2,0,0,1,2,0,1,0,0,0
Kyle Tucker*,HOU,157,674,574,97,163,37,5,29,112,30,5,80,92,11,3,0,10,9
Brice Turang*,MIL,137,448,404,46,88,9,3,6,34,26,4,38,94,9,1,3,2,1
Justin Turner,BOS,146,626,558,86,154,31,0,23,96,4,1,51,110,10,11,0,6,0
Trea Turner,PHI,155,691,639,102,170,35,5,26,76,30,0,45,150,12,6,0,1,2
Luis Urías,TOT,52,177,144,18,28,6,0,3,18,0,0,21,41,4,10,0,0,0
Luis Urías,MIL,20,68,55,5,8,2,0,1,5,0,0,7,15,1,5,0,0,0
Luis Urías,BOS,32,109,89,13,20,4,0,2,13,0,0,14,26,3,5,0,0,0
Ramón Urías,BAL,116,396,360,45,95,22,3,4,42,3,1,27,101,10,8,0,1,0
Gio Urshela,LAA,62,228,214,22,64,8,1,2,24,3,2,10,36,9,1,0,3,0
Enmanuel Valdez*,BOS,49,149,139,17,37,8,0,6,19,5,1,8,37,4,1,0,0,0
Ildemaro Vargas#,WSN,86,286,262,32,66,13,2,4,31,1,1,19,20,10,1,3,1,0
Miguel Vargas,LAD,81,304,256,36,50,15,4,7,32,3,2,38,61,1,4,1,4,1
Daulton Varsho*,TOR,158,581,527,65,116,23,3,20,61,16,7,45,135,5,4,1,3,0
Andrew Vaughn,CHW,152,615,566,67,146,30,2,21,80,0,0,36,129,15,11,0,2,0
Terrin Vavra*,BAL,27,56,49,9,12,0,0,0,5,1,0,5,12,5,0,2,0,0
Christian Vázquez,MIN,102,355,327,34,73,13,0,6,32,1,0,25,82,11,1,1,1,1
Andrew Velazquez#,LAA,54,94,81,12,14,3,0,2,3,13,3,10,30,1,0,3,0,0
Nelson Velázquez,TOT,53,179,162,35,38,6,0,17,34,0,0,14,51,3,2,0,1,0
Nelson Velázquez,CHC,13,32,29,8,7,2,0,3,6,0,0,3,8,1,0,0,0,0
Nelson Velázquez,KCR,40,147,133,27,31,4,0,14,28,0,0,11,43,2,2,0,1,0
Alex Verdugo*,BOS,142,602,546,81,144,37,5,13,54,5,3,45,93,11,6,0,5,1
Alex Vesia*,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Vest,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Vientos,NYM,65,233,218,19,46,5,1,9,22,1,0,10,71,5,3,0,2,0
Matt Vierling,DET,134,530,479,63,125,21,5,10,44,6,6,44,112,8,5,1,1,1
