Name,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB
Matt Brash,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Brasier,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Brasier,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Bregman,HOU,161,724,622,103,163,28,4,25,98,3,1,92,87,22,8,0,2,1
Will Brennan*,CLE,138,455,432,41,115,24,0,5,41,13,5,16,57,4,5,0,2,2
Jonah Bride,OAK,40,106,88,9,15,3,0,0,7,0,1,11,22,3,4,1,2,0
Mike Brosseau,MIL,29,78,73,4,15,2,0,4,8,0,0,4,20,2,1,0,0,0
Seth Brown*,OAK,112,378,343,33,76,19,1,14,52,3,1,30,101,6,2,1,2,1
Vidal Bruján#,TBR,37,84,76,14,13,2,0,0,6,3,2,5,21,1,2,1,0,0
Kris Bryant,COL,80,335,300,36,70,10,0,10,31,0,0,29,68,6,6,0,0,0
J.B. Bukauskas,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.B. Bukauskas,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Bummer*,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton Burdick,MIA,14,37,33,4,6,2,0,1,2,1,0,3,18,0,1,0,0,0
Jake Burger,TOT,141,540,492,71,123,28,1,34,80,1,1,32,149,4,12,0,4,0
Jake Burger,CHW,88,323,294,44,63,15,1,25,52,1,1,22,102,3,5,0,2,0
Jake Burger,MIA,53,217,198,27,60,13,0,9,28,0,0,10,47,1,7,0,2,0
Alec Burleson*,STL,107,347,315,34,77,20,1,8,36,3,1,23,45,13,3,1,2,0
Michael Busch*,LAD,27,81,72,9,12,3,0,2,7,1,0,8,27,0,0,0,1,0
Lawrence Butler*,OAK,42,129,123,10,26,4,0,4,10,0,0,4,35,5,1,0,1,0
Byron Buxton,MIN,85,347,304,49,63,17,1,17,42,9,0,35,109,3,4,0,4,2
José Caballero,SEA,104,280,231,37,51,9,1,4,26,26,3,28,66,0,17,0,4,0
Trey Cabbage*,LAA,22,56,53,5,11,3,0,1,7,1,1,2,26,1,0,0,1,0
Génesis Cabrera*,TOT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Génesis Cabrera*,STL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Cabrera,DET,98,370,334,21,86,20,0,4,34,0,0,31,74,11,2,0,3,0
Oswaldo Cabrera#,NYY,115,330,298,35,63,11,0,5,29,8,0,25,72,6,2,3,2,1
Kole Calhoun*,CLE,43,174,157,18,34,7,0,6,25,0,1,13,37,3,2,0,2,0
Willie Calhoun*,NYY,44,149,134,16,32,7,0,5,16,0,0,14,20,2,0,0,1,1
Alex Call,WSN,128,439,375,43,75,14,1,8,38,9,8,53,78,1,6,3,2,0
Johan Camargo#,SFG,8,20,18,0,4,0,0,0,2,0,0,1,4,2,1,0,0,0
Junior Caminero,TBR,7,36,34,4,8,1,0,1,7,0,0,2,8,2,0,0,0,0
Luis Campusano,SDP,49,174,163,27,52,7,0,7,30,0,0,7,21,8,3,0,1,0
Alexander Canario,CHC,6,17,17,1,5,1,1,1,6,0,0,0,8,0,0,0,0,0
Jeimer Candelario#,TOT,140,576,505,77,127,39,3,22,70,8,1,53,127,11,13,0,4,1
Jeimer Candelario#,WSN,99,419,368,57,95,30,2,16,53,6,1,36,88,10,12,0,2,1
Jeimer Candelario#,CHC,41,157,137,20,32,9,1,6,17,2,0,17,39,1,1,0,2,0
Mark Canha,TOT,139,507,435,51,114,25,1,11,62,11,1,49,79,11,17,0,6,1
Mark Canha,NYM,89,303,257,28,63,15,1,6,29,7,0,32,52,8,9,0,5,0
Mark Canha,MIL,50,204,178,23,51,10,0,5,33,4,1,17,27,3,8,0,1,1
Yennier Cano,BAL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominic Canzone*,TOT,59,182,173,23,38,13,0,6,21,1,0,8,32,5,1,0,0,0
Dominic Canzone*,ARI,15,41,38,4,9,2,0,1,8,0,0,2,8,1,1,0,0,0
Dominic Canzone*,SEA,44,141,135,19,29,11,0,5,13,1,0,6,24,4,0,0,0,0
Conner Capel*,OAK,32,86,73,6,19,5,0,0,3,5,3,12,25,1,1,0,0,0
Vinny Capra,PIT,9,21,18,3,3,1,0,0,1,0,0,2,5,0,0,1,0,0
Víctor Caratini#,MIL,62,226,201,23,52,4,0,7,25,1,1,19,45,8,3,0,3,0
Dylan Carlson#,STL,76,255,219,27,48,8,1,5,27,3,0,26,49,4,7,0,3,0
Kerry Carpenter*,DET,118,459,418,57,116,17,2,20,64,6,0,32,115,5,8,0,1,3
Matt Carpenter*,SDP,76,237,188,18,33,12,0,5,31,1,0,41,67,2,2,0,5,0
Corbin Carroll*,ARI,155,645,565,116,161,30,10,25,76,54,5,57,125,7,13,6,4,1
Evan Carter*,TEX,23,75,62,15,19,4,1,5,12,3,0,12,24,1,0,0,1,1
Curt Casali,CIN,40,96,80,8,14,2,0,0,6,0,0,11,23,1,2,3,0,0
Triston Casas*,BOS,132,502,429,66,113,21,2,24,65,0,0,70,126,7,1,0,2,2
Nick Castellanos,PHI,157,671,626,79,170,37,2,29,106,11,2,36,185,17,3,0,6,0
Diego Castillo,ARI,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harold Castro*,COL,99,270,258,24,65,13,0,1,31,1,0,9,66,5,0,1,2,0
Miguel Castro,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodolfo Castro#,TOT,92,256,227,21,48,7,0,6,24,1,4,23,74,4,5,0,1,1
Rodolfo Castro#,PIT,78,224,197,19,45,7,0,6,22,1,4,21,62,4,5,0,1,1
Rodolfo Castro#,PHI,14,32,30,2,3,0,0,0,2,0,0,2,12,0,0,0,0,0
Willi Castro#,MIN,124,409,358,60,92,18,5,9,34,33,5,34,99,5,12,2,3,1
Jake Cave*,PHI,65,203,184,18,39,8,1,5,21,3,0,15,55,3,1,1,2,0
