Name,Tm,WAR
Carlos Hernández,KCR,0
Enrique Hernández,2TM,-0.1
Teoscar Hernández,SEA,2.1
Yonny Hernández#,LAD,-0.1
Iván Herrera,STL,0.3
José Herrera#,ARI,-0.1
Jason Heyward*,LAD,1.9
Aaron Hicks#,2TM,0.4
Kyle Higashioka,NYY,-0.3
Derek Hill,WSN,-0.3
Sam Hilliard*,ATL,0.2
Bryan Hoeing,MIA,0
Nico Hoerner,CHC,5.1
TJ Hopkins,CIN,-0.3
Spencer Horwitz*,TOR,0.3
Eric Hosmer*,CHC,-0.5
Sam Huff,TEX,0.3
Cooper Hummel#,SEA,-0.4
Tommy Hunter,NYM,0
Andy Ibáñez,DET,2
Jonathan India,CIN,1.4
Kyle Isbel*,KCR,2.1
Drey Jameson,ARI,0
Travis Jankowski*,TEX,1.4
Danny Jansen,TOR,1.6
Kenley Jansen#,BOS,0
Bryce Jarvis*,ARI,0
Ryan Jeffers,MIN,3.3
Eloy Jiménez,CHW,0.3
Joe Jiménez,ATL,0
Connor Joe,PIT,0.7
Bryce Johnson#,SFG,-0.2
Pierce Johnson,COL,0
Jahmai Jones,MIL,0
Nolan Jones*,COL,4.3
Aaron Judge,NYY,4.5
Edouard Julien*,MIN,2.6
Corey Julks,HOU,0.3
Josh Jung,TEX,2.4
Jakob Junis,SFG,0
Connor Kaiser,COL,-0.1
Karl Kauffmann,COL,0
Anthony Kay*,CHC,0
Jarred Kelenic*,SEA,2
Carson Kelly,2TM,0.1
Tony Kemp*,OAK,-1
Buddy Kennedy,ARI,0
Max Kepler*,MIN,2.9
Grae Kessinger,HOU,0
Carter Kieboom,WSN,-0.1
Kevin Kiermaier*,TOR,3.9
Ha-Seong Kim,SDP,5.8
Isiah Kiner-Falefa,NYY,0
John King*,TEX,0
Alex Kirilloff*,MIN,0.4
Alejandro Kirk,TOR,1.9
Heston Kjerstad*,BAL,0
Andrew Knizner,STL,1
Taylor Kohlwey*,SDP,-0.2
Mark Kolozsvary,BAL,0
Ryan Kreidler,DET,-0.4
Steven Kwan*,CLE,3.6
Tommy La Stella*,SEA,-0.1
Jake Lamb*,LAA,0.1
Alex Lange,DET,0
Shea Langeliers,OAK,1.1
Trevor Larnach*,MIN,0.1
Ramón Laureano,2TM,1.8
Derek Law,CIN,0
Jordan Lawlar,ARI,-0.2
Justin Lawrence,COL,0
Korey Lee,CHW,-0.7
Mark Leiter Jr.,CHC,0
