Name,Uni,Unnamed: 2,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
Alec Bohm,28.0,Position,*,-,26,R,R,"6' 5""",218,3-Aug-96,2016
Brandon Marsh,16.0,Position,*,-,25,L,R,"6' 4""",215,18-Dec-97,2017
Weston Wilson,37.0,Position,*,-,28,R,R,"6' 3""",215,11-Sep-94,2014
Trea Turner,7.0,Position,*,-,30,R,R,"6' 2""",185,30-Jun-93,2012
Bryce Harper,3.0,Position,*,-,30,L,R,"6' 3""",210,16-Oct-92,2010
Bryson Stott,5.0,Position,*,-,25,L,R,"6' 3""",200,6-Oct-97,2017
Rodolfo Castro,29.0,Position,*,-,24,S,R,"6' 0""",205,21-May-99,2016
Rafael Marchan,13.0,Position,*,-,24,S,R,"5' 9""",170,25-Feb-99,2016
Cristian Pache,19.0,Position,*,-,24,R,R,"6' 2""",215,19-Nov-98,2016
Darick Hall,24.0,Position,*,-,27,L,R,"6' 4""",232,25-Jul-95,2014
Diego Castillo,-,Position,*,-,25,R,R,"5' 10""",185,28-Oct-97,2015
Edmundo Sosa,33.0,Position,*,-,27,R,R,"6' 0""",210,6-Mar-96,2013
Garrett Stubbs,21.0,Position,*,-,30,L,R,"5' 10""",170,26-May-93,2012
Kyle Schwarber,12.0,Position,*,-,30,L,R,"6' 0""",229,5-Mar-93,2012
J.T. Realmuto,10.0,Position,*,-,32,R,R,"6' 1""",212,18-Mar-91,2010
Kody Clemens,23.0,Position,*,-,27,L,R,"6' 1""",200,15-May-96,2016
Jake Cave,44.0,Position,*,-,30,L,L,"6' 0""",200,4-Dec-92,2011
Johan Rojas,18.0,Position,*,-,22,R,R,"5' 11""",165,14-Aug-00,2018
